,0,1,2,3,4,5
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,100.0
2,0.0,0.0,0.0,0.0,28.988868274582558,100.0
3,0.0,0.0,0.0,8.40354483841099,41.170646872343134,100.0
4,0.0,0.0,2.436092543602444,15.466264340823198,48.725798511293945,100.0
5,0.0,0.7061956585118401,5.507196223338735,21.330527551992606,53.94804669028145,100.0
6,0.0,1.893233258904655,8.702445169253327,26.19897253391369,57.84253711567271,100.0
7,0.0,3.318319834578361,11.800576968392846,30.30003851753459,60.8903972451278,100.0
8,0.0,4.815286816035957,14.704451161147732,33.805052773811106,63.360029674185945,100.0
9,0.0,6.28614648935339,17.374742576834073,36.8356578548963,65.41388908554936,100.0
10,0.0,7.67832227730773,19.801783158519353,39.47866456657036,67.15550541318085,100.0
11,0.0,8.966917651816047,21.991434285270103,41.7977622702344,68.65354974881647,100.0
12,0.0,10.143169675713892,23.957404644590095,43.841320796909315,69.95534206462163,100.0
13,0.0,11.207369957822632,25.716936527545514,45.64735776217865,71.09478915056378,100.0
14,0.0,12.164639383814123,27.288380945712913,47.24667656834516,72.09716028375345,100.0
15,0.0,13.022449616329391,28.689863454042417,48.66486653030482,72.98200374410777,100.0
16,0.0,13.78919481037613,29.93858482421559,49.92360207574213,73.76495221410119,100.0
17,0.0,14.47338868893113,31.05048975165271,51.04150933653541,74.45885807203827,100.0
18,0.0,15.083231097845337,32.040146095043575,52.03476338066231,75.07452168302473,100.0
19,0.0,15.626390855310811,32.920741610007774,52.917515298781424,75.62117057408828,100.0
20,0.0,16.10991355341672,33.704143434589376,53.702209636250466,76.10678460197698,100.0
21,0.0,16.54020005844801,34.40098837907234,54.39982929188168,76.53832461597759,100.0
22,0.0,16.923023650219903,35.020785628662146,55.020090890700835,76.92189954058523,100.0
23,0.0,17.263566996759312,35.57202150632809,55.571605091722894,77.2628932237747,100.0
24,0.0,17.566468061465212,36.06226068647246,56.062011094348414,77.56606421292518,100.0
25,0.0,17.835868735033753,36.4982410270536,56.49809142560445,77.83562667480426,100.0
26,0.0,18.075462762453192,36.88596079355725,56.885871124888126,78.07531767549881,100.0
27,0.0,18.288541168254117,37.23075795851169,57.2307042125736,78.28845420549953,100.0
28,0.0,18.478034333259757,37.53738175947537,57.5373495450365,78.47798220920272,100.0
29,0.0,18.64655042003963,37.810056956409944,57.810037647600595,78.64651917772981,100.0
30,0.0,18.79641014764013,38.05254134730174,58.05252977391628,78.79639142150909,100.0
31,0.0,18.929678077841164,38.26817713897409,58.26817020207556,78.92966685370358,100.0
32,0.0,19.048190654166465,38.459936763849015,58.45993260598516,79.04818392660142,100.0
33,0.0,19.153581266271082,38.630463703915574,58.63046121175978,79.1535772338783,100.0
34,0.0,19.247302616970703,38.78210884254026,58.78210734878271,79.24730020002022,100.0
35,0.0,19.330646659352098,38.91696282000805,58.91696192467413,79.33064521067139,100.0
36,0.0,19.404762354303354,39.036884823721564,59.036884287073015,79.40476148598776,100.0
37,0.0,19.47067147858294,39.143528200905365,59.143527879246975,79.47067095812874,100.0
38,0.0,19.529282692561225,39.23836324149534,59.23836304869855,79.52928238060946,100.0
39,0.0,19.581404056305686,39.32269744206036,59.32269732650111,79.58140386932689,100.0
40,0.0,19.627754163404767,39.39769352818225,59.39769345891792,79.62775405133273,100.0
41,0.0,19.668972044136655,39.46438548259963,59.46438544108372,79.6689719769625,100.0
42,0.0,19.705625973382457,39.5236927993961,59.52369277451214,79.70562593311936,100.0
43,0.0,19.73822130403853,39.576433160337196,59.57643314542216,79.73822127990549,100.0
44,0.0,19.767207433520248,39.62333370787497,59.623333698935134,79.7672074190553,100.0
45,0.0,19.792983999161038,39.66504107009246,59.66504106473407,79.79298399049098,100.0
46,0.0,19.81590638777722,39.70213027571346,59.702130272501726,79.81590638258054,100.0
47,0.0,19.836290635272295,39.735112682036515,59.73511268011146,79.83629063215749,100.0
48,0.0,19.854417783779926,39.76444302506491,59.764443023911056,79.85441778191296,100.0
49,0.0,19.87053775638691,39.790525689014686,59.79052568832309,79.87053775526788,100.0
50,0.0,19.884872802838924,39.813720281628505,59.813720281213975,79.88487280216819,100.0
